Freq	Amp
43.796284	4693.049520
43.846280	4556.920178
43.896276	4515.903681
43.946272	4810.667959
43.996267	5208.024632
44.046263	5484.722235
44.096259	4845.297537
44.146255	3720.192726
44.196250	2646.778135
44.246246	1978.200963
44.296242	1858.726912
44.346238	2102.293837
44.396233	2578.792382
44.446229	2917.513454
44.496225	2937.594553
44.546221	2715.474100
44.596216	2880.976866
44.646212	2813.227102
44.696208	2681.040339
44.746204	2601.921510
44.796199	2495.609195
44.846195	2391.752591
44.896191	2417.988726
44.946187	2980.164950
44.996183	3806.079507
45.046178	4730.869352
45.096174	5541.093767
45.146170	6304.349025
45.196166	6724.803401
45.246161	6745.931853
45.296157	6538.670143
45.346153	6539.305112
45.396149	5991.072394
45.446144	5559.887509
45.496140	4981.875382
45.546136	4082.588358
45.596132	3134.067369
45.646127	2685.821244
45.696123	2853.228174
45.746119	2851.493306
45.796115	2686.779690
45.846110	2318.148771
45.896106	1629.947053
45.946102	875.274123
45.996098	789.145273
46.046093	1321.735795
46.096089	2031.175271
46.146085	2735.100009
46.196081	2739.068224
46.246076	2622.023768
46.296072	2410.282341
46.346068	1392.236371
46.396064	1757.921158
46.446060	2407.854048
46.496055	3189.748523
46.546051	3976.972877
46.596047	4273.282201
46.646043	4713.287436
46.696038	5361.295139
46.746034	6506.747919
46.796030	7725.854371
46.846026	8564.325306
46.896021	7932.783447
46.946017	7231.839141
46.996013	6990.477838
47.046009	7120.404683
47.096004	6365.975760
47.146000	5337.835711
47.195996	4655.410400
47.245992	4500.748332
47.295987	4461.995280
47.345983	5198.301955
47.395979	6064.435825
47.445975	5566.738853
47.495970	5995.507816
47.545966	5755.093183
47.595962	4182.864910
47.645958	4082.338505
47.695953	3567.348373
47.745949	3538.962357
47.795945	3588.440195
47.845941	4034.573477
47.895936	3662.556835
47.945932	2729.660443
47.995928	3643.318032
48.045924	3430.797474
48.095920	4449.249982
48.145915	5424.562070
48.195911	4957.046356
48.245907	4739.564826
48.295903	4075.128977
48.345898	1624.939807
48.395894	2114.555429
48.445890	2351.782081
48.495886	5695.807604
48.545881	5551.818972
48.595877	5135.899670
48.645873	4506.224915
48.695869	3901.677947
48.745864	3959.096304
48.795860	5134.239659
48.845856	3633.419630
48.895852	5520.511800
48.945847	4496.114913
48.995843	3665.850206
49.045839	3604.478424
49.095835	4747.669225
49.145830	3520.825014
49.195826	3835.206516
49.245822	4685.109738
49.295818	4913.646973
49.345813	4508.421999
49.395809	4622.927033
49.445805	2888.687969
49.495801	4931.855217
49.545797	5349.071294
49.595792	6086.335996
49.645788	5513.267748
49.695784	4285.298597
49.745780	5213.328062
49.795775	4855.325716
49.845771	4754.453820
49.895767	6000.990199
49.945763	1923.862412
49.995758	5400.703467
50.045754	5953.699550
50.095750	7099.383758
50.145746	7516.737143
50.195741	8236.782438
50.245737	8040.232025
50.295733	6787.673613
50.345729	6153.139786
50.395724	5149.640775
50.445720	4584.673261
50.495716	4664.051461
50.545712	2152.838600
50.595707	1493.918383
50.645703	1983.578244
50.695699	3306.413596
50.745695	3899.778764
50.795690	4844.421900
50.845686	5851.839160
50.895682	4271.112711
50.945678	5513.072522
50.995674	4476.783173
51.045669	4010.653490
51.095665	4557.002892
51.145661	4082.278761
51.195657	3699.998456
51.245652	5375.637401
51.295648	4797.325036
51.345644	2372.155086
51.395640	3773.072471
51.445635	5844.308727
51.495631	4541.705556
51.545627	4661.824926
51.595623	4029.574846
51.645618	4069.341039
51.695614	3865.449156
51.745610	5133.016656
51.795606	5396.119789
51.845601	4358.685406
51.895597	4765.127667
51.945593	4465.678123
51.995589	6650.017222
52.045584	3584.547238
52.095580	2606.499209
52.145576	2043.847707
52.195572	2197.805025
52.245567	1794.193315
52.295563	649.123551
52.345559	1610.449408
52.395555	1853.234580
52.445551	3027.713047
52.495546	1755.313274
52.545542	1271.810174
52.595538	3076.891107
52.645534	2160.535412
52.695529	954.086716
52.745525	88.582444
52.795521	605.700297
52.845517	1153.718550
52.895512	1248.147473
52.945508	1464.247994
52.995504	2307.949011
53.045500	1668.819167
53.095495	1660.985538
53.145491	1741.258189
53.195487	380.275250
53.245483	1017.739387
53.295478	2208.614370
53.345474	2825.141654
53.395470	2187.657979
53.445466	889.765265
53.495461	1459.744290
53.545457	2101.373195
53.595453	1060.263071
53.645449	1435.167873
53.695444	1390.110296
53.745440	572.713264
53.795436	490.987099
53.845432	1143.881155
53.895427	1275.240794
53.945423	893.030547
53.995419	1115.446458
54.045415	1089.971622
54.095411	1216.987800
54.145406	785.867993
54.195402	1219.948309
54.245398	1234.944525
54.295394	2022.201128
54.345389	1644.717468
54.395385	596.229865
54.445381	801.086998
54.495377	1115.255138
54.545372	1196.734991
54.595368	2171.702232
54.645364	1823.315593
54.695360	808.578097
54.745355	688.014389
54.795351	740.728947
54.845347	2486.791395
54.895343	981.151602
54.945338	967.536664
54.995334	1741.109006
55.045330	1640.936848
55.095326	1189.927826
55.145321	1383.141549
55.195317	820.039970
55.245313	669.326910
55.295309	497.146770
55.345304	452.471291
55.395300	628.266665
55.445296	112.089593
55.495292	1164.373181
55.545288	682.727159
55.595283	117.614185
55.645279	110.915344
55.695275	424.309534
55.745271	596.107605
55.795266	1313.791487
55.845262	586.830648
55.895258	675.286739
55.945254	842.956292
55.995249	1492.948064
56.045245	1190.486128
56.095241	347.752282
56.145237	626.925713
56.195232	880.074641
56.245228	428.287788
56.295224	173.293455
56.345220	1209.515180
56.395215	494.014486
56.445211	335.709954
56.495207	385.627264
56.545203	505.267975
56.595198	273.842072
56.645194	140.719204
56.695190	151.467753
56.745186	1017.362083
56.795181	184.274039
56.845177	452.989334
56.895173	395.413028
56.945169	373.302204
56.995165	248.109003
57.045160	251.935966
57.095156	290.670701
57.145152	216.918501
57.195148	220.557646
57.245143	216.072674
57.295139	245.111278
57.345135	231.312115
57.395131	231.307975
57.445126	228.616871
57.495122	229.544585
57.545118	225.942672
57.595114	220.425848
57.645109	223.112584
57.695105	221.776093
57.745101	223.564490
57.795097	223.451238
57.845092	219.124124
57.895088	220.558097
57.945084	218.546431
57.995080	216.113778
58.045075	217.875013
58.095071	217.293485
58.145067	216.871730
58.195063	215.052901
58.245058	214.770802
58.295054	213.838352
58.345050	213.321494
58.395046	212.760471
58.445042	212.184224
58.495037	211.869010
58.545033	211.347163
58.595029	211.075007
58.645025	210.068287
58.695020	209.476888
58.745016	208.903329
58.795012	208.311242
58.845008	207.843478
58.895003	207.506175
58.944999	206.972568
58.994995	206.374909
59.044991	205.935944
59.094986	205.453071
59.144982	204.799491
59.194978	204.437364
59.244974	204.020437
59.294969	203.703151
59.344965	203.087412
59.394961	202.528800
59.444957	201.986646
59.494952	201.549439
59.544948	201.113344
59.594944	200.920385
59.644940	200.276793
59.694935	199.890348
59.744931	199.448896
59.794927	199.106394
59.844923	198.542539
59.894918	198.138988
59.944914	197.773556
59.994910	197.317163
60.044906	196.954993
60.094902	196.473016
60.144897	196.089234
60.194893	195.678495
60.244889	195.289623
60.294885	194.883955
60.344880	194.495444
60.394876	194.128313
60.444872	193.697188
60.494868	193.313099
60.544863	192.928833
60.594859	192.538770
60.644855	192.159304
60.694851	191.773908
60.744846	191.410033
60.794842	191.028464
60.844838	190.669841
60.894834	190.289391
60.944829	189.915220
60.994825	189.574867
61.044821	189.154335
61.094817	188.806188
61.144812	188.461641
61.194808	188.102956
61.244804	187.787177
61.294800	187.394826
61.344795	187.049446
61.394791	186.696056
61.444787	186.359830
61.494783	186.014960
61.544779	185.663568
61.594774	185.319274
61.644770	184.986136
61.694766	184.654567
61.744762	184.319228
61.794757	183.983977
61.844753	183.653493
61.894749	183.318665
61.944745	182.986940
61.994740	182.650358
62.044736	182.322541
62.094732	181.999625
62.144728	181.683700
62.194723	181.365515
62.244719	181.041247
62.294715	180.717389
62.344711	180.409662
62.394706	180.098377
62.444702	179.782740
62.494698	179.472139
62.544694	179.165554
62.594689	178.849754
62.644685	178.541135
62.694681	178.226847
62.744677	177.918928
62.794672	177.617734
62.844668	177.318601
62.894664	177.015751
62.944660	176.711497
62.994656	176.406560
63.044651	176.112031
63.094647	175.815546
63.144643	175.527936
63.194639	175.237061
63.244634	174.942227
63.294630	174.649059
63.344626	174.366052
63.394622	174.083033
63.444617	173.793096
63.494613	173.513977
63.544609	173.227443
63.594605	172.944928
63.644600	172.667476
63.694596	172.388163
63.744592	172.104764
63.794588	171.826051
63.844583	171.549011
63.894579	171.267961
63.944575	170.991607
63.994571	170.713891
64.044566	170.438476
64.094562	170.168918
64.144558	169.904389
64.194554	169.631826
64.244549	169.362656
64.294545	169.097362
